"UPC","brand","flavor","volume","package"
"00-01-16000-11653","GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST",0.06,"BOX"
"00-01-16000-11945","GENERAL MILLS CHEERIOS","TOASTED",0.04,"BOX"
"00-01-16000-14154","GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST",0.12,"CUP"
"00-01-16000-14156","GENERAL MILLS LUCKY CHARMS","TOASTED",0.11,"CUP"
"00-01-16000-14159","GENERAL MILLS CHEERIOS","TOASTED",0.08,"CUP"
"00-01-16000-16179","GENERAL MILLS COCOA PUFFS","COCOA",0.89,"BOX"
"00-01-16000-16181","GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST",0.98,"BOX"
"00-01-16000-16182","GENERAL MILLS LUCKY CHARMS","TOASTED",0.87,"BOX"
"00-01-16000-27507","GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST",0.8,"BOX"
"00-01-16000-27509","GENERAL MILLS LUCKY CHARMS","TOASTED",1.5,"BOX"
"00-01-16000-27511","GENERAL MILLS COCOA PUFFS","COCOA",0.74,"BOX"
"00-01-16000-27519","GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST",1.06,"BOX"
"00-01-16000-27525","GENERAL MILLS KIX","REGULAR",0.54,"BOX"
"00-01-16000-27526","GENERAL MILLS CHEERIOS","TOASTED",0.56,"BOX"
"00-01-16000-27528","GENERAL MILLS CHEERIOS","TOASTED",1.12,"BOX"
"00-01-16000-27534","GENERAL MILLS LUCKY CHARMS","TOASTED",0.72,"BOX"
"00-01-16000-27551","GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST",1.56,"BOX"
"00-01-16000-27564","GENERAL MILLS CHEERIOS","TOASTED",0.88,"BOX"
"00-01-16000-27567","GENERAL MILLS KIX","REGULAR",0.75,"BOX"
"00-01-16000-27568","GENERAL MILLS COCOA PUFFS","COCOA",1.03,"BOX"
"00-01-16000-27569","GENERAL MILLS LUCKY CHARMS","TOASTED",1,"BOX"
"00-01-16000-27577","GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST",0.78,"BOX"
"00-01-16000-62570","GENERAL MILLS KIX","REGULAR",1.12,"BOX"
"00-01-16000-62667","GENERAL MILLS CHEERIOS","REGULAR",0.88,"BOX"
"00-01-16000-63513","GENERAL MILLS LUCKY CHARMS","REGULAR",1,"BOX"
"00-01-16000-63514","GENERAL MILLS CINNAMON TST CR","CINNAMON TOAST",1.06,"BOX"
"00-01-16000-63573","GENERAL MILLS COCOA PUFFS","COCOA",0.74,"BOX"
"00-01-16000-66310","GENERAL MILLS KIX","REGULAR",0.56,"BOX"
"00-01-16000-66510","GENERAL MILLS CHEERIOS","TOASTED",0.62,"BOX"
