"UPC","iri_key","week","units","price","promo","ad"
"01.16000.11653",644347,6,5,0.5,0,"A"
"01.16000.11653",248741,5,2,0.5,0,"NONE"
"01.16000.11653",535806,11,3,0.5,0,"NONE"
"01.16000.11945",675634,11,2,0.5,0,"NONE"
"01.16000.11945",205272,13,8,0.5,0,"NONE"
"01.16000.11945",248741,14,5,0.5,0,"NONE"
"01.16000.14154",932600,39,6,1.09,0,"NONE"
"01.16000.14154",278738,35,1,1.59,0,"NONE"
"01.16000.14154",660222,45,4,1.59,0,"NONE"
"01.16000.14154",644937,5,14,1,0,"NONE"
"01.16000.14154",673333,50,11,1.45,0,"A"
"01.16000.14154",231888,47,19,1.45,0,"NONE"
"01.16000.14154",258855,40,10,1.06,1,"NONE"
"01.16000.14154",648236,5,5,1.09,0,"NONE"
"01.16000.14154",688268,23,2,1,0,"NONE"
"01.16000.14154",243941,41,7,1.29,0,"NONE"
"01.16000.14154",235442,27,21,1,1,"A"
"01.16000.14154",292624,34,2,1.45,0,"NONE"
"01.16000.14154",285608,42,5,1.59,0,"NONE"
"01.16000.14154",243941,44,8,1.29,0,"NONE"
"01.16000.14154",220689,7,9,1,1,"NONE"
"01.16000.14154",242020,25,4,1.49,0,"NONE"
"01.16000.14154",673341,32,2,1.59,0,"NONE"
"01.16000.14154",934382,42,10,0.99,1,"NONE"
"01.16000.14154",252147,24,3,1.09,0,"NONE"
"01.16000.14154",267403,49,10,1.45,0,"NONE"
"01.16000.14154",535279,33,7,1.45,0,"NONE"
"01.16000.14154",267403,12,18,1,0,"NONE"
"01.16000.14154",253139,19,23,1.09,0,"NONE"
"01.16000.14154",648458,29,7,1.09,0,"NONE"
"01.16000.14154",264580,34,2,1.29,0,"NONE"
"01.16000.14154",286681,15,6,1,0,"NONE"
"01.16000.14154",282379,9,12,1,0,"NONE"
"01.16000.14154",261919,17,2,1,0,"B"
"01.16000.14154",279429,50,5,1,0,"NONE"
"01.16000.14154",658239,52,6,1,1,"NONE"
"01.16000.14154",648459,29,10,1.09,0,"NONE"
"01.16000.14154",653057,10,6,1.09,0,"NONE"
"01.16000.14156",242020,48,5,1.49,0,"NONE"
"01.16000.14156",228137,10,8,1.25,0,"NONE"
"01.16000.14156",535279,18,15,1,0,"NONE"
"01.16000.14156",252147,11,12,1.09,0,"NONE"
"01.16000.14156",241516,35,3,1.09,0,"A"
"01.16000.14156",235190,40,7,1,1,"NONE"
"01.16000.14156",292624,29,4,1.39,0,"NONE"
"01.16000.14156",258855,21,13,1,0,"NONE"
"01.16000.14156",262433,16,3,1.25,0,"NONE"
"01.16000.14156",264500,19,12,1,0,"NONE"
"01.16000.14156",279429,3,4,1,1,"B"
"01.16000.14156",647512,10,5,1.09,0,"NONE"
"01.16000.14156",290053,39,3,1.29,0,"NONE"
"01.16000.14156",655638,35,21,1.09,0,"A"
"01.16000.14156",263500,18,4,1.25,0,"NONE"
"01.16000.14156",271053,5,2,1.25,0,"NONE"
"01.16000.14156",671371,38,7,1.33,0,"NONE"
"01.16000.14156",220689,27,11,1,1,"A"
"01.16000.14156",645502,39,9,1,0,"NONE"
"01.16000.14156",220689,50,10,1,1,"NONE"
"01.16000.14156",264580,34,2,1.29,0,"NONE"
"01.16000.14156",284552,1,19,1,1,"NONE"
"01.16000.14156",655638,51,15,0.99,1,"NONE"
"01.16000.14156",232175,14,10,1.49,0,"NONE"
"01.16000.14159",267403,10,16,1,0,"NONE"
"01.16000.14159",934382,17,11,1.09,0,"NONE"
"01.16000.14159",647769,17,1,1.29,0,"NONE"
"01.16000.14159",536278,19,20,1,0,"NONE"
"01.16000.14159",932177,4,4,1,0,"NONE"
"01.16000.14159",242020,37,3,1.49,0,"NONE"
"01.16000.14159",252147,29,14,1.09,0,"NONE"
"01.16000.14159",648459,49,1,0.99,1,"NONE"
"01.16000.14159",237281,51,9,1.19,0,"NONE"
"01.16000.14159",648459,51,5,0.99,1,"NONE"
"01.16000.14159",240219,5,1,1.05,1,"NONE"
"01.16000.14159",266481,43,2,0.99,1,"NONE"
"01.16000.14159",1085053,32,1,1.05,0,"NONE"
"01.16000.14159",654142,15,9,1,0,"NONE"
"01.16000.14159",647769,42,3,0.67,1,"NONE"
"01.16000.14159",685797,32,9,1,0,"NONE"
